X,Y
-1.0,-0.8509570424001167
-1.0,-0.9441822454584159
-1.0,-0.9967038904557503
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9837308884009495
-1.0,-0.9371942863115041
-1.0,-0.8584391536305096
-1.0,-0.8428484565214067
-1.0,-0.8019327697557359
-1.0,-0.7730432067448922
-1.0,-0.7728944495932731
-1.0,-0.8565019374718711
-1.0,-0.9443967637684587
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9759890228050137
-1.0,-0.9400810066678524
-1.0,-0.9398235591758917
-1.0,-0.9357490930526382
-1.0,-0.9803625205095898
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9870195497576194
-1.0,-0.9331054632654204
-1.0,-0.9856365246424417
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9842080521798335
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9394286251166774
-1.0,-0.8997406395859358
-1.0,-0.9182233191452518
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-1.0
-1.0,-0.9985551727266619
-1.0,-0.9515336847047904
-1.0,-0.9526822304249268
-1.0,-0.9710295446782368
-1.0,-1.0
-1.0,-0.4168055632882748
-1.0,-0.41748132077903083
-1.0,-0.44309269390920514
-1.0,-0.49772532436570094
-1.0,-0.5890230716457
-1.0,-0.6334480084773264
-1.0,-0.6068689260559172
-1.0,-0.6229370384135319
-1.0,-0.694922156693681
-1.0,-0.7701934250174973
-1.0,-0.8191249562124969
-1.0,-0.8132533932431119
-1.0,-0.9016352147243196
-1.0,-0.8482397179575634
-1.0,-0.911148657061647
-1.0,-0.8930886041461119
-1.0,-0.8831524442733198
-1.0,-0.8815182806885669
-1.0,-0.9063501718417032
-1.0,-0.9482577442165202
-1.0,-0.9165592163120304
-1.0,-0.8303553729464773
-1.0,-0.7614474256388012
-1.0,-0.7791693042687964
-1.0,-0.7757848873010738
-1.0,-0.8086509731262308
-1.0,-0.7650512610283445
-1.0,-0.7259730898237298
-1.0,-0.7078871209259666
-1.0,-0.5752002917073035
-1.0,-0.6096776984946907
-1.0,-0.6441627659093517
-1.0,-0.6129868965490938
-1.0,-0.621677021783771
-1.0,-0.6739713123906828
-1.0,-0.6984848242314683
-1.0,-0.6580088997321046
-1.0,-0.6920497993436542
-1.0,-0.6886067931640929
-1.0,-0.6794952319865447
-1.0,-0.7006332688387188
-1.0,-0.6757316860386221
-0.9942671590855121,-0.6715212758837363
-0.8439292450953181,-0.6390231740744473
-0.7320753594526356,-0.7131187787252984
-0.6511235436562608,-0.73339879963671
-0.570271932122071,-0.7201945975654743
-0.49836121427026425,-0.7145557394728942
-0.3929711789639264,-0.7293956814958025
-0.34275036839049783,-0.7700838881489054
-0.2307799193360293,-0.7622674781403388
0,-0.768858148507286
0,-0.7285710083976268
0,-0.7130601189564624
0,-0.7309407575968043
0,-0.8113680411502529
0,-0.82270736380356
0,-0.8099516222298611
0,-0.882645986216628
0,-0.873895455025439
0,-0.8530452757165861
0,-0.9267751509128932
0,-0.9559063446829927
0,-0.9382338289930175
0,-0.9108360259745103
0,-0.8501241196682967
0,-0.8501633620186432
0,-0.7969449214465999
0,-0.7949576219630476
0,-0.7682227521070127
0,-0.7534056276441434
0,-0.7372841136866899
0,-0.6980476879700915
0,-0.7034185649345385
0,-0.7043252948456258
0,-0.6928211653425931
0,-0.6610022463010831
0,-0.6545034532669617
0,-0.6135583218694936
0,-0.6502611220514494
0,-0.6442053817760827
0,-0.6081016550642488
0,-0.6230259809832468
0,-0.6152822917472843
0,-0.5886250624297936
0,-0.6099216086549863
0,-0.6320193478097477
0,-0.6084709065240604
0,-0.5871544517029249
0,-0.5638325484465239
0,-0.5425982594998683
0,-0.5594703885912744
0,-0.615683752369924
0,-0.5992160976801151
0,-0.5735390670263697
0,-0.5585439613380384
0,-0.5742168399652146
0,-0.6015078974096814
0,-0.6017978227910616
0,-0.6078944872698109
0,-0.5996134510401957
0,-0.617091147340653
0,-0.5902959526021759
0,-0.6236289290237942
0,-0.637186708366371
0,-0.6206168403795538
0,-0.6536091309965344
0,-0.6871991098997566
0,-0.6803682801927121
0,-0.6625649385355497
0,-0.665541283589415
0,-0.6855610720586738
0,-0.7095515112563953
-0.12431667231597254,-0.7741167060137603
-0.30697140418643926,-0.7968566598582929
-0.411931669114849,-0.7634402424896186
-0.476535671886116,-0.7958015010510617
-0.5309662741159158,-0.8151505675075303
-0.574604378440076,-0.8542094179801497
-0.6092551298998523,-0.8732134796009908
-0.612208938096193,-0.8894975710379185
-0.6022428943985063,-0.9463268207214407
-0.6129834420427993,-0.9298575203822808
-0.6431882964476521,-0.9328709020904442
-0.6304343400514227,-0.9566170206608791
-0.6123979313960377,-1.0
-0.6380396561559221,-1.0
-0.6580312123625551,-1.0
-0.6825154215936488,-1.0
-0.7147789026344152,-1.0
-0.7420271969272211,-1.0
-0.7810505742574001,-1.0
-0.7491201914828474,-1.0
-0.7538189209721722,-1.0
-0.8001330234367706,-1.0
-0.8124824821086007,-1.0
-0.8187153633477037,-1.0
-0.8192460523692393,-1.0
-0.7998651048516366,-1.0
-0.7681846610479958,-1.0
-0.7523218372583627,-1.0
-0.7500021635263554,-1.0
-0.7759826912639879,-1.0
-0.7650563592574103,-0.981041234955977
-0.8150301935953912,-1.0
-0.8466264277149087,-1.0
-0.8503322872998351,-1.0
-0.8236145594057263,-1.0
-0.8138162032776965,-1.0
-0.8614779768996697,-1.0
-0.9098825187490238,-1.0
-0.7746206455344299,-1.0
-0.642541409471534,-1.0
-0.29023254081274263,-1.0
0,-0.9586306548670513
0.2084047631801217,-0.8089982957568452
0.32912491145142814,-0.69617087929733
0.44714361968748784,-0.5421487945090148
0.5091087339802014,-0.4615716334076838
0.537469190837267,-0.40998993515691595
0.6361669784321359,-0.3606459842557457
0.6439096178706636,-0.34056842206903304
0.6274960775565217,-0.33238156908932404
0.6333492862293693,-0.3446139066898764
0.6429870217169458,-0.3277920683686587
0.6398946241120471,-0.29563585449686547
0.6431919109938682,-0.2577704579820996
0.5794156973550256,-0.2631465408332551
0.5298379780907291,-0.2653253362000697
0.5456831871862904,-0.25917821196369917
0.5680782234406565,-0.2539182033942853
0.545493847936828,-0.25137900435660776
0.5311133619569754,-0.24907861291813363
0.5294095843354497,-0.220396865483015
0.5313668967347375,-0.237143322171594
0.5215232865816644,-0.24615506870138143
0.48021315810119347,-0.23218232619321896
0.47362651469663597,-0.2131152117253339
0.3484874911702174,-0.3603842103439856
0.2471985077174586,-0.4383691327411793
0,-0.5202808250897318
-0.17062417954228482,-0.5296883901472735
-0.24524918940615165,-0.7073845078487755
-0.19914352304939897,-0.7134590397956683
-0.23268150912633695,-0.7388121317126135
-0.21673042505768386,-0.6382343908479171
-0.21453519995920087,-0.5534885843872503
